t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770271245.0550756,1.2875608552765838,0.0,0.020000000000045592,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.0076795307483156095,0.1753110488023941,0.011494810881298754,-0.010702329457919952
1770271245.4730003,1.287769845058321,0.0,0.020000000000045592,1.2515569973015779,0.0,0.0914357924300433,0.18750000000000006,0.0065801763488010576,0.1575121644644692,0.012505723528575296,-0.033051700390145634
1770271245.8986511,1.2879360469168415,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.006921044598353833,0.1629227268835801,0.00956476399974732,-0.005359895436666166
1770271246.31869,1.2881261805063475,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.17708333333333337,0.007318297129254522,0.17632477164925622,0.008386835189409799,-0.0014106235951885377
1770271246.7328773,1.288337105936407,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.15625000000000003,0.0071093318688472615,0.16284063644507132,0.008499328738997966,-0.007296884235105465
1770271247.1482897,1.2885337528198948,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.15625000000000003,0.006209741740275652,0.16895020858629528,0.00975819862331418,-0.01460032401624614
1770271247.5600562,1.2887374592828742,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.15625000000000003,0.0070417264138638086,0.1706824362775363,0.007292807928387941,-0.014804516104290955
1770271247.9770484,1.2889494225025169,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.15625000000000003,0.0077354002530370565,0.1511047924626073,0.005806806555900979,-0.0062581045232094614
1770271248.4185665,1.289131449710726,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.007830928721713634,0.16599380628636204,0.006203763584837806,-0.0015261386516362708
1770271248.8396058,1.289333765974044,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.1666666666666667,0.008140011282248108,0.17477430753015724,0.006442265870560469,-0.008980363797906614
1770271249.2596188,1.28955103375554,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.15625000000000003,0.008733016487991529,0.17007049860214224,0.006557049915164737,-0.014919960293016035
1770271249.6859906,1.289765479423999,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.15625000000000003,0.00900505976525961,0.1553694652699354,0.008023121568669299,-0.001518110993710248
1770271250.1114373,1.2899527403193705,0.0,0.020000000000037387,1.2515569973015779,0.0,0.0914357924300433,0.15625000000000003,0.008949374371178242,0.14863584653349146,0.008974266219567375,-0.00772171385579294
